Province/State,Country/Region,Lat,Long,Date,Total Cases,Total Deaths,Daily Cases,Daily Deaths,Mortality Rate
Anhui,China,31.83,117.23,2020-01-23,9,0,8,0,0.0
Anhui,China,31.83,117.23,2020-01-24,15,0,6,0,0.0
Anhui,China,31.83,117.23,2020-01-25,39,0,24,0,0.0
Anhui,China,31.83,117.23,2020-01-26,60,0,21,0,0.0
Anhui,China,31.83,117.23,2020-01-27,70,0,10,0,0.0
Anhui,China,31.83,117.23,2020-01-28,106,0,36,0,0.0
Anhui,China,31.83,117.23,2020-01-29,152,0,46,0,0.0
Anhui,China,31.83,117.23,2020-01-30,200,0,48,0,0.0
Anhui,China,31.83,117.23,2020-01-31,237,0,37,0,0.0
Anhui,China,31.83,117.23,2020-02-01,297,0,60,0,0.0
Anhui,China,31.83,117.23,2020-02-02,340,0,43,0,0.0
Anhui,China,31.83,117.23,2020-02-03,408,0,68,0,0.0
Anhui,China,31.83,117.23,2020-02-04,480,0,72,0,0.0
Anhui,China,31.83,117.23,2020-02-05,530,0,50,0,0.0
Anhui,China,31.83,117.23,2020-02-06,591,0,61,0,0.0
Anhui,China,31.83,117.23,2020-02-07,665,0,74,0,0.0
Anhui,China,31.83,117.23,2020-02-08,733,0,68,0,0.0
Anhui,China,31.83,117.23,2020-02-09,779,1,46,1,0.13
Anhui,China,31.83,117.23,2020-02-10,830,3,51,2,0.36
Anhui,China,31.83,117.23,2020-02-11,860,4,30,1,0.47
Anhui,China,31.83,117.23,2020-02-12,889,4,29,0,0.45
Anhui,China,31.83,117.23,2020-02-13,910,5,21,1,0.55
Anhui,China,31.83,117.23,2020-02-14,934,6,24,1,0.64
Anhui,China,31.83,117.23,2020-02-15,950,6,16,0,0.63
Anhui,China,31.83,117.23,2020-02-16,962,6,12,0,0.62
Anhui,China,31.83,117.23,2020-02-17,973,6,11,0,0.62
Anhui,China,31.83,117.23,2020-02-18,982,6,9,0,0.61
Anhui,China,31.83,117.23,2020-02-19,986,6,4,0,0.61
Anhui,China,31.83,117.23,2020-02-20,987,6,1,0,0.61
Anhui,China,31.83,117.23,2020-02-21,988,6,1,0,0.61
Anhui,China,31.83,117.23,2020-02-22,989,6,1,0,0.61
Anhui,China,31.83,117.23,2020-02-23,989,6,0,0,0.61
Anhui,China,31.83,117.23,2020-02-24,989,6,0,0,0.61
Anhui,China,31.83,117.23,2020-02-25,989,6,0,0,0.61
Anhui,China,31.83,117.23,2020-02-26,989,6,0,0,0.61
Anhui,China,31.83,117.23,2020-02-27,989,6,0,0,0.61
Anhui,China,31.83,117.23,2020-02-28,990,6,1,0,0.61
Anhui,China,31.83,117.23,2020-02-29,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-01,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-02,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-03,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-04,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-05,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-06,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-07,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-08,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-09,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-10,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-11,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-12,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-13,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-14,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-15,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-16,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-17,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-18,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-19,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-20,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-21,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-22,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-23,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-24,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-25,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-26,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-27,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-28,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-29,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-30,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-03-31,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-01,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-02,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-03,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-04,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-05,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-06,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-07,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-08,990,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-09,991,6,1,0,0.61
Anhui,China,31.83,117.23,2020-04-10,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-11,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-12,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-13,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-14,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-15,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-16,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-17,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-18,991,6,0,0,0.61
Anhui,China,31.83,117.23,2020-04-19,991,6,0,0,0.61
